Timestamp,outputFilterHeartOut,final_heart_rate,heart_rate_est_peak,heart_rate_est_fft,heart_rate_est_fft_4hz,heartRateEst_xCorr,confidence_heart,range_bin_value,rangeBinPhaseIndex,unwrapPhasePeak_mm,sumEnergyHeartWfm
1745902604.1355965,0.0,48.0,0.0,0.0,0.0,130.43478393554688,0.0,952460928.0,362414099,-0.03952682763338089,0.0
1745902604.1355965,-0.0004191792686469853,48.0,0.0,0.0,0.0,130.43478393554688,0.0,801218176.0,108658707,0.12448857724666595,0.0
1745902604.151967,-0.00019005319336429238,48.0,0.0,0.0,0.0,130.43478393554688,0.0,855604864.0,4261019667,0.1957988440990448,0.0
1745902604.168729,0.002564828610047698,48.0,0.0,0.0,0.0,130.43478393554688,0.0,940547712.0,1048182803,0.27021506428718567,0.0
1745902604.1855178,0.009188616648316383,48.0,0.0,0.0,0.0,130.43478393554688,0.0,965447808.0,776077331,0.29893937706947327,0.0
1745902604.2187948,0.0180339552462101,48.0,0.0,0.0,0.0,130.43478393554688,0.0,907869440.0,1945370643,0.3143722712993622,0.0
1745902604.2353892,0.024151846766471863,48.0,0.0,0.0,0.0,130.43478393554688,0.0,764337984.0,998047763,0.3459855914115906,0.0
1745902604.2520342,0.021453311666846275,48.0,5.859375,46.875,93.75,130.43478393554688,0.0,671659840.0,584908819,0.3641429841518402,0.0
1745902604.2718503,0.006397433578968048,48.0,5.859375,46.875,93.75,130.43478393554688,0.0,545237696.0,4272619539,0.34094899892807007,0.0
1745902604.2873523,-0.01920786313712597,48.0,5.859375,46.875,93.75,130.43478393554688,0.0,494021504.0,2438725651,0.22602391242980957,0.0
1745902604.318451,-0.04870956391096115,48.0,5.859375,46.875,93.75,130.43478393554688,0.0,614510144.0,2193162259,0.03369199112057686,0.0
1745902604.3350923,-0.07405927777290344,48.0,5.859375,46.875,93.75,130.43478393554688,0.0,722403264.0,1006567443,-0.1081155315041542,0.0
1745902604.3518226,-0.08907073736190796,48.0,5.859375,46.875,93.75,130.43478393554688,0.0,851656064.0,217448467,-0.2080807238817215,0.0
1745902604.3685496,-0.08964094519615173,48.0,5.859375,46.875,93.75,130.43478393554688,0.0,1306423552.0,3168927763,-0.3179062008857727,0.0
1745902604.385479,-0.0721844732761383,48.0,5.859375,46.875,93.75,130.43478393554688,0.0,1675609856.0,3213754387,-0.46165362000465393,0.0
1745902604.4188972,-0.034276917576789856,48.0,5.859375,46.875,93.75,130.43478393554688,0.0,1740823808.0,2243559443,-0.5586268901824951,0.0
1745902604.435423,0.022022247314453125,48.0,5.859375,46.875,93.75,130.43478393554688,0.0,2065361920.0,903348243,-0.6404528617858887,0.0
1745902604.4521563,0.08808904141187668,48.0,5.859375,46.875,93.75,130.43478393554688,0.0,1829551872.0,427687955,-0.7300748229026794,0.0
1745902604.4686031,0.15022552013397217,48.0,5.859375,46.875,93.75,130.43478393554688,0.0,1581027328.0,2032140307,-0.8528189659118652,0.12690657377243042
1745902604.4853652,0.1931888312101364,26.9296875,5.859375,46.875,93.75,130.43478393554688,0.0,1508297472.0,3449159699,-1.029203176498413,0.12690657377243042
1745902604.5188575,0.203872412443161,5.859375,5.859375,46.875,93.75,130.43478393554688,0.0,1441806080.0,3765305363,-1.324629783630371,0.12690657377243042
1745902604.5394711,0.17447996139526367,5.859375,5.859375,46.875,93.75,130.43478393554688,0.0,1413922944.0,2374041619,-1.6764822006225586,0.12690673768520355
1745902604.5518942,0.10481247305870056,5.859375,5.859375,46.875,93.75,130.43478393554688,0.0,1447352064.0,2309881875,-1.8628486394882202,0.12690673768520355
1745902604.5687468,0.004243612289428711,5.859375,5.859375,46.875,93.75,130.43478393554688,0.0,1626367872.0,3771662355,-2.019069194793701,0.12690657377243042
1745902604.5854778,-0.1064678281545639,5.859375,5.859375,46.875,93.75,130.43478393554688,0.0,1762121984.0,263323667,-2.1368162631988525,0.12690673768520355
1745902604.618821,-0.19744330644607544,5.859375,5.859375,46.875,93.75,130.43478393554688,0.0,1798320640.0,1617166355,-2.2841267585754395,0.12690657377243042
1745902604.6353924,-0.239604651927948,5.859375,5.859375,117.1875,219.7265625,130.43478393554688,0.0,1992559104.0,2283012115,-2.4193382263183594,0.12690673768520355
1745902604.6524568,-0.21796874701976776,5.859375,5.859375,117.1875,219.7265625,130.43478393554688,0.0,2147418112.0,4261412883,-2.531367778778076,0.12690657377243042
1745902604.6686156,-0.13954824209213257,5.859375,5.859375,117.1875,219.7265625,130.43478393554688,0.0,2147418112.0,4261412883,-2.619603157043457,0.12690657377243042
1745902604.7007935,-0.031018555164337158,5.859375,5.859375,117.1875,219.7265625,130.43478393554688,0.0,2147418112.0,4261412883,-2.6982104778289795,0.12690673768520355
1745902604.7184198,0.07194593548774719,5.859375,5.859375,117.1875,219.7265625,130.43478393554688,0.0,2147418112.0,4261412883,-2.759974956512451,0.12690673768520355
1745902604.7352242,0.13785667717456818,5.859375,5.859375,117.1875,219.7265625,130.43478393554688,0.0,2147418112.0,4261412883,-2.790109634399414,0.12690657377243042
1745902604.7520707,0.1497238576412201,5.859375,5.859375,117.1875,219.7265625,130.43478393554688,0.0,2147418112.0,4261412883,-2.8302462100982666,0.12690673768520355
1745902604.7684417,0.1093667671084404,5.859375,5.859375,117.1875,219.7265625,130.43478393554688,0.0,2147418112.0,4261412883,-2.875716209411621,0.12690657377243042
1745902604.8008263,0.03476928919553757,5.859375,5.859375,117.1875,219.7265625,130.43478393554688,0.0,2147418112.0,4261412883,-2.9143290519714355,0.12690673768520355
1745902604.819232,-0.047836508601903915,5.859375,5.859375,117.1875,219.7265625,130.43478393554688,0.0,2147418112.0,4261412883,-2.9572088718414307,0.12690657377243042
1745902604.8361413,-0.1133027970790863,5.859375,5.859375,117.1875,219.7265625,130.43478393554688,0.0,2147418112.0,4261412883,-3.002251625061035,0.12690673768520355
1745902604.8571274,-0.1448165476322174,5.859375,5.859375,117.1875,219.7265625,130.43478393554688,0.0,2147418112.0,4261412883,-3.0608575344085693,0.12690657377243042
1745902604.8736753,-0.13742022216320038,5.859375,5.859375,117.1875,219.7265625,120.0,0.0,2147418112.0,4261412883,-3.0916173458099365,0.15485383570194244
1745902604.900608,-0.09744655340909958,5.859375,5.859375,117.1875,219.7265625,120.0,0.0,2147418112.0,4261412883,-3.114218235015869,0.15485356748104095
1745902604.9179416,-0.03851141035556793,5.859375,5.859375,117.1875,219.7265625,120.0,0.0,2147418112.0,4261412883,-3.1386663913726807,0.15485402941703796
1745902604.9335752,0.02394278347492218,5.859375,5.859375,117.1875,219.7265625,120.0,0.0,2147418112.0,4261412883,-3.201630115509033,0.15485376119613647
1745902604.949199,0.07696035504341125,5.859375,5.859375,117.1875,219.7265625,120.0,0.0,2147483648.0,19,-3.2388126850128174,0.15485413372516632
1745902604.9804437,0.11211812496185303,5.859375,5.859375,117.1875,219.7265625,120.0,0.0,2147483648.0,19,-3.291228771209717,0.1548539251089096
1745902604.9960713,0.12612171471118927,5.859375,5.859375,117.1875,219.7265625,120.0,0.0,2147483648.0,19,-3.41672420501709,0.15485358238220215
1745902605.0116978,0.12041248381137848,5.859375,5.859375,117.1875,219.7265625,120.0,0.0,2147483648.0,19,-3.551476240158081,0.1548537164926529
1745902605.0273192,0.09940920025110245,5.859375,5.859375,117.1875,219.7265625,120.0,0.0,2147483648.0,19,-3.5872912406921387,0.15485374629497528
1745902605.0585716,0.06880050897598267,5.859375,5.859375,117.1875,219.7265625,120.0,0.0,2147483648.0,19,-3.5552175045013428,0.15485356748104095
1745902605.0741959,0.03580320626497269,5.859375,5.859375,117.1875,219.7265625,120.0,0.0,2147483648.0,19,-3.5387589931488037,0.15485379099845886
1745902605.089824,0.009435713291168213,5.859375,5.859375,117.1875,213.8671875,120.0,0.0,2147483648.0,19,-3.579855442047119,0.15485379099845886
1745902605.1210685,-0.002689659595489502,5.859375,5.859375,117.1875,213.8671875,120.0,0.0,2147483648.0,19,-3.598409414291382,0.15485377609729767
1745902605.1367104,0.00037795305252075195,5.859375,5.859375,117.1875,213.8671875,120.0,0.0,2147483648.0,19,-3.5697360038757324,0.15485386550426483
1745902605.1523588,0.011229485273361206,5.859375,5.859375,117.1875,213.8671875,120.0,0.0,2147483648.0,19,-3.5105297565460205,0.1548539102077484
1745902605.1680105,0.018334507942199707,5.859375,5.859375,117.1875,213.8671875,120.0,0.0,2147483648.0,19,-3.469933271408081,0.15485382080078125
1745902605.1994486,0.012468785047531128,5.859375,5.859375,117.1875,213.8671875,120.0,0.0,2147483648.0,19,-3.446579933166504,0.15485386550426483
1745902605.2150912,-0.009518429636955261,5.859375,5.859375,117.1875,213.8671875,120.0,0.0,2147483648.0,19,-3.395728826522827,0.1548537313938141
1745902605.230742,-0.04456328600645065,5.859375,5.859375,117.1875,213.8671875,120.0,0.0,2147483648.0,19,-3.33624267578125,0.15485386550426483
1745902605.2465808,-0.08494236320257187,5.859375,5.859375,117.1875,213.8671875,120.0,0.0,2015127040.0,952893459,-3.288788080215454,0.15485385060310364
1745902605.277318,-0.12044437974691391,5.859375,5.859375,117.1875,213.8671875,120.0,0.0,2136305920.0,2866937875,-3.2521259784698486,0.22541728615760803
1745902605.2929456,-0.1413942277431488,5.859375,5.859375,117.1875,213.8671875,120.0,0.0,2147352576.0,4227858451,-3.2100889682769775,0.2254173308610916
1745902605.3088338,-0.14179323613643646,5.859375,5.859375,117.1875,213.8671875,120.0,0.0,2147352576.0,4227858451,-3.1429967880249023,0.22541742026805878
1745902605.340864,-0.12086138129234314,5.859375,5.859375,117.1875,213.8671875,120.0,0.0,2147352576.0,4227858451,-3.068918466567993,0.22541724145412445
1745902605.3608906,-0.0823923647403717,5.859375,5.859375,117.1875,213.8671875,120.0,0.0,2147352576.0,4227858451,-2.9959876537323,0.22541716694831848
