Timestamp,outputFilterHeartOut,final_heart_rate,heart_rate_est_peak,heart_rate_est_fft,heart_rate_est_fft_4hz,heartRateEst_xCorr,confidence_heart,range_bin_value,rangeBinPhaseIndex,unwrapPhasePeak_mm,sumEnergyHeartWfm
1751701638.5871909,-0.6176502108573914,48.0,5.859375,84.9609375,123.046875,130.43478393554688,0.03607266768813133,649577536.0,3742433297,-207.67454528808594,0.1846688836812973
1751701638.5871909,0.542953372001648,48.0,5.859375,84.9609375,123.046875,130.43478393554688,0.035773370414972305,1108847872.0,794427409,-207.62806701660156,0.18466898798942566
1751701638.5871909,0.08198782801628113,48.0,5.859375,84.9609375,123.046875,130.43478393554688,0.03170669451355934,753696512.0,2986082321,-207.4799041748047,0.18466882407665253
1751701638.6207113,-0.09200996160507202,48.0,5.859375,84.9609375,123.046875,130.43478393554688,0.03342606872320175,621184000.0,437256209,-207.4280548095703,0.18466901779174805
1751701638.6372511,-0.15716135501861572,48.0,5.859375,84.9609375,123.046875,130.43478393554688,0.032979607582092285,702523520.0,2124546065,-207.4302520751953,0.1846688985824585
1751701638.6537964,-0.12669216096401215,48.0,5.859375,84.9609375,123.046875,130.43478393554688,0.033967435359954834,636932672.0,3678994449,-207.4116668701172,0.18466895818710327
1751701638.6704636,-0.05075296759605408,48.0,5.859375,84.9609375,123.046875,130.43478393554688,0.03333061560988426,356878208.0,742129681,-207.3054656982422,0.1846688985824585
1751701638.6872349,0.012195184826850891,48.0,5.859375,84.9609375,123.046875,130.43478393554688,0.033330611884593964,174597536.0,2186936337,-207.1702117919922,0.18466895818710327
1751701638.7207265,0.02280402183532715,48.0,5.859375,84.9609375,123.046875,130.43478393554688,0.034525465220212936,171490464.0,2345271313,-207.04684448242188,0.18466898798942566
1751701638.7370439,-0.02462126314640045,48.0,5.859375,84.9609375,123.046875,130.43478393554688,0.035750750452280045,172674912.0,2901803025,-206.9403839111328,0.18466895818710327
1751701638.7537477,-0.10556930303573608,48.0,5.859375,84.9609375,123.046875,130.43478393554688,0.03575076535344124,213128720.0,1096876049,-206.84095764160156,0.18466895818710327
1751701638.7705188,-0.18164269626140594,48.0,5.859375,84.9609375,123.046875,130.43478393554688,0.035864416509866714,312820352.0,705953809,-206.74961853027344,0.17959384620189667
1751701638.7871675,-0.21930089592933655,48.0,5.859375,84.9609375,123.046875,130.43478393554688,0.03601115196943283,449080224.0,593297425,-206.6359405517578,0.17959389090538025
1751701638.8206375,-0.20261278748512268,48.0,5.859375,84.9609375,123.046875,130.43478393554688,0.03578254580497742,301195168.0,2667380753,-206.52049255371094,0.17959390580654144
1751701638.8371637,-0.13658249378204346,48.0,5.859375,84.9609375,123.046875,130.43478393554688,0.03514466434717178,219057664.0,3906994193,-206.29806518554688,0.1795937716960907
1751701638.8606637,-0.04192236065864563,48.0,5.859375,84.9609375,123.046875,130.43478393554688,0.035225506871938705,353052928.0,1497890833,-205.86671447753906,0.17959383130073547
1751701638.87123,0.055565133690834045,48.0,5.859375,84.9609375,123.046875,130.43478393554688,0.03718876093626022,532049088.0,3009806354,-205.032470703125,0.17959392070770264
1751701638.8873343,0.13692598044872284,48.0,5.859375,84.9609375,123.046875,130.43478393554688,0.03508899360895157,381558304.0,4042326034,-205.1739044189453,0.17959369719028473
1751701638.9206443,0.19463039934635162,48.0,5.859375,84.9609375,123.046875,130.43478393554688,0.035089001059532166,412131072.0,2230845458,-205.2655792236328,0.17959387600421906
1751701638.9373124,0.22203819453716278,26.9296875,5.859375,90.8203125,123.046875,130.43478393554688,0.03508898615837097,1496578816.0,1744175122,-205.4114227294922,0.17959386110305786
1751701638.95382,0.2022283524274826,5.859375,5.859375,90.8203125,123.046875,130.43478393554688,0.035089001059532166,1584402816.0,3760390162,-205.4805450439453,0.17959389090538025
1751701638.970688,0.11832137405872345,5.859375,5.859375,90.8203125,123.046875,130.43478393554688,0.03723317012190819,1317788672.0,397934610,-205.3755645751953,0.17959396541118622
1751701638.9974592,-0.023243263363838196,5.859375,5.859375,90.8203125,123.046875,130.43478393554688,0.03723316639661789,1423553280.0,3009806354,-205.36093139648438,0.17959387600421906
1751701639.0206711,-0.1823587864637375,5.859375,5.859375,90.8203125,123.046875,130.43478393554688,0.03723317012190819,1108914688.0,828637202,-205.30909729003906,0.17959386110305786
1751701639.0380023,-0.2984105944633484,5.859375,5.859375,90.8203125,123.046875,130.43478393554688,0.03723316267132759,506070016.0,1344274450,-205.07656860351562,0.17959390580654144
1751701639.0539553,-0.31792253255844116,5.859375,5.859375,90.8203125,123.046875,130.43478393554688,0.03723317012190819,554128896.0,492306450,-204.79339599609375,0.17959384620189667
1751701639.0705454,-0.21868056058883667,5.859375,5.859375,90.8203125,123.046875,130.43478393554688,0.037233177572488785,1092885120.0,1211432978,-204.70501708984375,0.17959405481815338
