Timestamp,range_bin_value,outputFilterHeartOut,heart_rate_est_fft,heart_rate_est_fft_4hz,heartRateEst_xCorr,heart_rate_est_peak,confidence_heart,sumEnergyHeartWfm,finalHeartrate
1736491740.821197,210949440.0,-0.008690118789672852,107.8125,107.8125,63.15789794921875,9.375,2.9516704082489014,0.26204580068588257,48.0
1736491740.821197,371964128.0,-0.5980744361877441,107.8125,107.8125,63.15789794921875,9.375,2.5265164375305176,0.2620455026626587,48.0
1736491740.8621788,274432896.0,-0.3569064140319824,107.8125,107.8125,63.15789794921875,9.375,2.5898921489715576,0.2620457708835602,48.0
1736491740.911346,320695680.0,-0.12056279182434082,107.8125,107.8125,63.15789794921875,9.375,2.665414571762085,0.26204562187194824,48.0
1736491740.9623084,364517632.0,0.0351557731628418,107.8125,107.8125,63.15789794921875,9.375,2.7356503009796143,0.26204562187194824,48.0
1736491741.0118499,285610752.0,0.07244110107421875,107.8125,107.8125,63.15789794921875,9.375,2.801565647125244,0.26204583048820496,48.0
1736491741.0620527,293682848.0,-0.0047352612018585205,107.8125,107.8125,63.15789794921875,9.375,2.8060455322265625,0.26204580068588257,48.0
1736491741.112336,584239488.0,-0.15841037034988403,107.8125,107.8125,63.15789794921875,9.375,2.7996582984924316,0.2620460093021393,48.0
1736491741.1618645,781678976.0,-0.32838135957717896,107.8125,107.8125,63.15789794921875,9.375,2.770004987716675,0.2620457112789154,48.0
1736491741.2106712,457195072.0,-0.44412147998809814,107.8125,107.8125,63.15789794921875,9.375,2.695162773132324,0.26204586029052734,48.0
1736491741.2619393,407077888.0,-0.44090068340301514,107.8125,107.8125,63.15789794921875,9.375,2.60817813873291,0.26204580068588257,48.0
1736491741.3112364,527912192.0,-0.2873319387435913,107.8125,107.8125,63.15789794921875,9.375,2.4950954914093018,0.26204583048820496,48.0
1736491741.3607388,889705344.0,-0.012147665023803711,107.8125,107.8125,63.15789794921875,9.375,2.3549225330352783,0.26204562187194824,48.0
1736491741.4114842,430970752.0,0.3023340702056885,107.8125,107.8125,63.15789794921875,9.375,2.244481086730957,0.26204565167427063,48.0
1736491741.4620812,596834560.0,0.56083083152771,107.8125,107.8125,63.15789794921875,9.375,2.1324286460876465,0.2620457112789154,48.0
1736491741.5110579,372156192.0,0.6966121792793274,107.8125,107.8125,63.15789794921875,9.375,2.4587814807891846,0.26204556226730347,48.0
1736491741.5613165,816266560.0,0.6963675022125244,107.8125,107.8125,63.15789794921875,9.375,2.4061195850372314,0.2620457112789154,48.0
1736491741.619537,714817728.0,0.6010684967041016,107.8125,107.8125,63.15789794921875,9.375,2.3677732944488525,0.26204556226730347,48.0
1736491741.6618505,561010176.0,0.4827115833759308,107.8125,107.8125,63.15789794921875,9.375,2.361783266067505,0.262045681476593,48.0
1736491741.7198913,68048520.0,0.4133153557777405,107.8125,107.8125,63.15789794921875,9.375,2.3470170497894287,0.26204565167427063,77.90625
1736491741.7617884,354390496.0,0.43161386251449585,107.8125,107.8125,63.15789794921875,9.375,2.330125093460083,0.2620455324649811,107.8125
1736491741.819542,587629120.0,0.5144816637039185,107.8125,107.8125,63.15789794921875,9.375,2.310584306716919,0.26204565167427063,107.8125
1736491741.8615527,373251968.0,0.5836164951324463,107.8125,107.8125,63.15789794921875,9.375,2.289233922958374,0.2620457708835602,107.8125
1736491741.9196515,337714464.0,0.553350567817688,107.8125,107.8125,63.15789794921875,10.546875,2.2543368339538574,0.2620461583137512,107.8125
1736491741.9617147,434338112.0,0.37853574752807617,107.8125,107.8125,63.15789794921875,10.546875,2.2228124141693115,0.26204583048820496,107.8125
1736491742.0195334,290915072.0,0.0682288408279419,107.8125,107.8125,63.15789794921875,10.546875,1.865788459777832,0.26204580068588257,107.8125
1736491742.061632,350576064.0,-0.3301593065261841,107.8125,107.8125,63.15789794921875,10.546875,1.8517556190490723,0.26204559206962585,107.8125
1736491742.1195955,318766848.0,-0.7541193962097168,107.8125,107.8125,63.15789794921875,10.546875,1.8270622491836548,0.2620459198951721,107.8125
1736491742.1620731,353043232.0,-1.141371488571167,107.8125,107.8125,63.15789794921875,10.546875,1.800931453704834,0.26204559206962585,107.8125
1736491742.2196462,439576896.0,-1.435744285583496,107.8125,107.8125,63.15789794921875,10.546875,1.798095941543579,0.2620455026626587,107.8125
1736491742.2633138,570942144.0,-1.5903700590133667,107.8125,107.8125,63.15789794921875,10.546875,1.7971266508102417,0.26204586029052734,107.8125
1736491742.3195472,420887616.0,-1.5732288360595703,107.8125,107.8125,63.15789794921875,10.546875,1.7798048257827759,0.26204580068588257,107.8125
1736491742.3662932,175613536.0,-1.3736028671264648,107.8125,107.8125,63.15789794921875,10.546875,1.781098484992981,0.26204565167427063,107.8125
1736491742.4195478,208705088.0,-1.0058095455169678,107.8125,107.8125,63.15789794921875,10.546875,1.8056312799453735,0.2620457708835602,107.8125
