timestamp,value
1736491748,-0.00007328318
1736491748.008,-0.00003190833
1736491748.016,-0.0000157369
1736491748.024,0.00001448937
1736491748.032,0.00003143585
1736491748.04,0.00004846814
1736491748.048,0.00006521294
1736491748.056,0.00006308065
1736491748.064,0.00007830164
1736491748.072,0.00007575103
1736491748.08,0.00007940721
1736491748.088,0.00008217592
1736491748.096,0.00008443113
1736491748.104,0.00008331314
1736491748.112,0.00008377495
1736491748.12,0.0000954892
1736491748.128,0.0001049393
1736491748.136,0.0001057753
1736491748.144,0.0001167419
1736491748.152,0.0001281612
1736491748.16,0.0001442339
1736491748.168,0.0001276534
1736491748.176,0.0001052787
1736491748.184,0.0001148956
1736491748.192,0.00008792544
1736491748.2,0.00003763
1736491748.208,-0.000003747768
1736491748.216,-0.00002921085
1736491748.224,-0.00005314045
1736491748.232,-0.00006203505
1736491748.24,-0.00006549041
1736491748.248,-0.000054833
1736491748.256,-0.00003955132
1736491748.264,-0.00003586055
1736491748.272,-0.00002941222
1736491748.28,-0.00001369663
1736491748.288,-0.00000356109
1736491748.296,-0.00004041646
1736491748.304,0.00009188786
1736491748.312,0.0004324228
1736491748.32,0.0003143969
1736491748.328,-0.0001380153
1736491748.336,-0.00049245
1736491748.344,-0.0004268947
1736491748.352,-0.0002644166
1736491748.36,-0.00008402167
1736491748.368,-0.00005288992
1736491748.376,-0.000006073729
1736491748.384,0.00001796788
1736491748.392,-0.000008705071
1736491748.4,0.00002846731
1736491748.408,0.00001101317
1736491748.416,0.00002260982
1736491748.424,0.00003388882
1736491748.432,0.00003836836
1736491748.44,0.00005568913
1736491748.448,0.00006143811
1736491748.456,0.00006931213
1736491748.464,0.00007231101
1736491748.472,0.00007165235
1736491748.48,0.00006851197
1736491748.488,0.00006173515
1736491748.496,0.00004823659
1736491748.504,0.00003273318
1736491748.512,0.00001771928
1736491748.52,-0.000004151124
1736491748.528,-0.000009759156
1736491748.536,-0.00002857912
1736491748.544,-0.00004320427
1736491748.552,-0.00006199199
1736491748.56,-0.0001014516
1736491748.568,-0.0001260186
1736491748.576,-0.0001496082
1736491748.584,-0.000169782
1736491748.592,-0.0001771057
1736491748.6,-0.0001730536
1736491748.608,-0.0001409927
1736491748.616,-0.0001194553
1736491748.624,-0.00007972959
1736491748.632,-0.00005379329
