subjek,jendela,t_mulai_s,t_selesai_s,ecg_hz,ecg_bpm,radar_hz,radar_bpm,radar_bpm_sebelum_medfilt,galat_bpm,galat_mutlak_bpm,galat_persen
subject03,11,100.0,140.0,1.3065,78.39,1.325,79.5,81.0,1.1099999999999994,1.1099999999999994,1.4159969383849975
subject03,12,110.0,150.0,1.3126,78.75,1.325,79.5,66.0,0.75,0.75,0.9523809523809524
subject03,13,120.0,160.0,1.3047,78.28,1.325,79.5,79.5,1.2199999999999989,1.2199999999999989,1.558507920286151
subject03,14,130.0,170.0,1.3115,78.69,1.325,79.5,79.5,0.8100000000000023,0.8100000000000023,1.0293556995806359
subject03,15,140.0,180.0,1.3212,79.27,1.325,79.5,87.0,0.23000000000000398,0.23000000000000398,0.2901475968209966
subject03,16,150.0,190.0,1.3241,79.45,1.325,79.5,99.0,0.04999999999999716,0.04999999999999716,0.0629326620516012
subject03,17,160.0,200.0,1.3194,79.16,1.325,79.5,79.5,0.3400000000000034,0.3400000000000034,0.42950985346134846
subject03,18,170.0,210.0,1.3126,78.76,1.325,79.5,79.5,0.7399999999999949,0.7399999999999949,0.9395632300660168
subject03,19,180.0,220.0,1.3042,78.25,1.325,79.5,99.0,1.25,1.25,1.5974440894568689
subject03,20,190.0,230.0,1.2967,77.8,1.325,79.5,60.0,1.7000000000000028,1.7000000000000028,2.185089974293063
subject03,21,200.0,240.0,1.2938,77.63,1.325,79.5,90.0,1.8700000000000045,1.8700000000000045,2.40886255313668
subject03,22,210.0,250.0,1.3042,78.25,1.325,79.5,58.5,1.25,1.25,1.5974440894568689
subject03,23,220.0,260.0,1.3093,78.56,1.05,63.0,58.5,-15.560000000000002,15.560000000000002,19.806517311608964
subject03,24,230.0,270.0,1.3209,79.25,1.05,63.0,84.0,-16.25,16.25,20.50473186119874
subject03,25,240.0,280.0,1.3321,79.93,1.275,76.5,97.5,-3.430000000000007,3.430000000000007,4.2912548479920005
subject03,26,250.0,290.0,1.3255,79.53,1.275,76.5,61.5,-3.030000000000001,3.030000000000001,3.8098830629950973
subject03,27,260.0,300.0,1.3264,79.58,1.325,79.5,63.0,-0.0799999999999983,0.0799999999999983,0.10052777079668045
subject03,28,270.0,310.0,1.3211,79.26,1.4,84.0,79.5,4.739999999999995,4.739999999999995,5.980317940953816
subject03,29,280.0,320.0,1.3115,78.69,1.45,87.0,76.5,8.310000000000002,8.310000000000002,10.560426991993904
subject03,30,290.0,330.0,1.3091,78.55,1.45,87.0,87.0,8.450000000000003,8.450000000000003,10.757479312539788
subject03,31,300.0,340.0,1.2999,77.99,1.5,90.0,90.0,12.010000000000005,12.010000000000005,15.399410180792417
subject03,32,310.0,350.0,1.2952,77.71,1.5,90.0,103.5,12.290000000000006,12.290000000000006,15.815210397632232
subject03,33,320.0,360.0,1.3011,78.06,1.5,90.0,94.5,11.939999999999998,11.939999999999998,15.295926210607222
subject03,34,330.0,370.0,1.3077,78.46,1.5,90.0,94.5,11.540000000000006,11.540000000000006,14.708131531990832
subject03,35,340.0,380.0,1.3199,79.2,1.5,90.0,94.5,10.799999999999997,10.799999999999997,13.636363636363633
subject03,36,350.0,390.0,1.322,79.32,1.275,76.5,69.0,-2.819999999999993,2.819999999999993,3.555219364599084
subject03,37,360.0,400.0,1.3087,78.52,1.275,76.5,61.5,-2.019999999999996,2.019999999999996,2.5725929699439583
subject03,38,370.0,410.0,1.3027,78.16,1.15,69.0,76.5,-9.159999999999997,9.159999999999997,11.719549641760487
subject03,39,380.0,420.0,1.292,77.52,1.025,61.5,76.5,-16.019999999999996,16.019999999999996,20.665634674922597
subject04,1,0.0,40.0,1.2164,72.98,0.9,54.0,58.5,-18.980000000000004,18.980000000000004,26.00712523979173
subject04,2,10.0,50.0,1.247,74.82,0.975,58.5,91.5,-16.319999999999993,16.319999999999993,21.812349639133917
subject04,3,20.0,60.0,1.2642,75.85,1.0,60.0,60.0,-15.849999999999994,15.849999999999994,20.896506262359914
subject04,4,30.0,70.0,1.2525,75.15,1.05,63.0,54.0,-12.150000000000006,12.150000000000006,16.167664670658688
subject04,5,40.0,80.0,1.2476,74.85,1.075,64.5,64.5,-10.349999999999994,10.349999999999994,13.827655310621237
subject04,6,50.0,90.0,1.2264,73.59,1.075,64.5,63.0,-9.090000000000003,9.090000000000003,12.352221769262133
subject04,7,60.0,100.0,1.2102,72.61,1.05,63.0,73.5,-9.61,9.61,13.235091585181106
subject04,8,70.0,110.0,1.2209,73.25,1.05,63.0,73.5,-10.25,10.25,13.993174061433447
subject04,9,80.0,120.0,1.2191,73.15,1.05,63.0,115.5,-10.150000000000006,10.150000000000006,13.875598086124407
subject04,10,90.0,130.0,1.235,74.1,0.875,52.5,52.5,-21.599999999999994,21.599999999999994,29.149797570850193
subject04,11,100.0,140.0,1.2559,75.35,0.875,52.5,52.5,-22.849999999999994,22.849999999999994,30.325149303251486
subject04,12,110.0,150.0,1.2717,76.3,0.875,52.5,52.5,-23.799999999999997,23.799999999999997,31.19266055045871
subject04,13,120.0,160.0,1.2757,76.54,0.875,52.5,52.5,-24.040000000000006,24.040000000000006,31.408413901228123
subject04,14,130.0,170.0,1.277,76.62,0.875,52.5,52.5,-24.120000000000005,24.120000000000005,31.480031323414252
subject04,15,140.0,180.0,1.2651,75.91,0.9,54.0,54.0,-21.909999999999997,21.909999999999997,28.863127387695954
subject04,16,150.0,190.0,1.2495,74.97,1.175,70.5,70.5,-4.469999999999999,4.469999999999999,5.962384953981592
