Timestamp,range_bin_value,outputFilterHeartOut,heart_rate_est_fft,heart_rate_est_fft_4hz,heartRateEst_xCorr,heart_rate_est_peak,confidence_heart,sumEnergyHeartWfm,finalHeartrate
1736492208.679636,2147483648.0,0.24543577432632446,75.0,111.328125,57.142860412597656,11.71875,5.988503456115723,0.28437554836273193,48.0
1736492208.679636,2147418112.0,0.35264045000076294,75.0,111.328125,60.0,12.890625,5.164597988128662,0.28800907731056213,48.0
1736492208.7318237,2147418112.0,0.3686293363571167,75.0,111.328125,60.0,12.890625,4.939612865447998,0.28800907731056213,48.0
1736492208.7810237,1876095232.0,0.2676202654838562,75.0,111.328125,109.09090423583984,12.890625,4.6617608070373535,0.288351446390152,48.0
1736492208.8311727,1784325248.0,0.07140606641769409,75.0,111.328125,109.09090423583984,12.890625,4.466824054718018,0.2883511781692505,48.0
1736492208.880796,1112701312.0,-0.1666698157787323,75.0,111.328125,109.09090423583984,12.890625,4.228771686553955,0.2883511781692505,48.0
1736492208.9294627,981956352.0,-0.3796398639678955,75.0,111.328125,109.09090423583984,12.890625,4.065411567687988,0.2883511781692505,48.0
1736492208.9853854,1604078080.0,-0.5090669989585876,75.0,111.328125,109.09090423583984,12.890625,3.8960134983062744,0.2883508503437042,48.0
1736492209.0305035,2014964480.0,-0.5235752463340759,75.0,111.328125,109.09090423583984,12.890625,3.7107722759246826,0.28835123777389526,48.0
1736492209.080243,1619841792.0,-0.4286796450614929,75.0,111.328125,109.09090423583984,12.890625,3.5454931259155273,0.2883508801460266,48.0
1736492209.1322753,1810158592.0,-0.2630317807197571,75.0,111.328125,109.09090423583984,12.890625,3.457228899002075,0.2883511483669281,48.0
1736492209.1812935,1280296192.0,-0.078907310962677,75.0,111.328125,109.09090423583984,12.890625,3.361346960067749,0.2883513569831848,48.0
1736492209.2320306,1316568576.0,0.08250939846038818,75.0,111.328125,109.09090423583984,12.890625,3.2579078674316406,0.2883510887622833,48.0
1736492209.281238,1268641664.0,0.20403945446014404,75.0,111.328125,109.09090423583984,12.890625,3.1907942295074463,0.2883514165878296,48.0
1736492209.3318338,1584255488.0,0.28896763920783997,75.0,111.328125,109.09090423583984,12.890625,3.1558926105499268,0.28835123777389526,48.0
1736492209.3799133,1378523648.0,0.3498159348964691,75.0,111.328125,109.09090423583984,12.890625,3.1550214290618896,0.2883512079715729,48.0
1736492209.4303803,1862410496.0,0.39637768268585205,75.0,111.328125,109.09090423583984,12.890625,3.1640045642852783,0.28835105895996094,48.0
1736492209.4796567,1550137856.0,0.4261602759361267,75.0,111.328125,109.09090423583984,12.890625,3.225703239440918,0.2883511483669281,48.0
1736492209.5300395,1504072832.0,0.42326483130455017,75.0,111.328125,109.09090423583984,12.890625,5.307382583618164,0.2883511781692505,48.0
1736492209.5788426,1392084608.0,0.3681683838367462,75.0,111.328125,109.09090423583984,12.890625,5.427795886993408,0.2883511185646057,61.5
1736492209.6306493,1621844864.0,0.251769483089447,75.0,111.328125,109.09090423583984,12.890625,5.582834720611572,0.2883513569831848,75.0
1736492209.6796618,1838255872.0,0.0842936635017395,75.0,111.328125,109.09090423583984,12.890625,5.774104595184326,0.28835126757621765,75.0
1736492209.7309902,1506025216.0,-0.10594296455383301,75.0,111.328125,109.09090423583984,12.890625,5.896224498748779,0.28835129737854004,75.0
