timestamp,value
1736492210,0.000414632
1736492210.008,0.0003792909
1736492210.016,-0.00005037585
1736492210.024,-0.0003823227
1736492210.032,-0.0003449858
1736492210.04,-0.0002210943
1736492210.048,-0.00006672891
1736492210.056,-0.00001064932
1736492210.064,0.00001327757
1736492210.072,0.00002774159
1736492210.08,0.000004923381
1736492210.088,0.00003715747
1736492210.096,0.00002273872
1736492210.104,0.00002199176
1736492210.112,0.00003398104
1736492210.12,0.00004239823
1736492210.128,0.00007090592
1736492210.136,0.00004381539
1736492210.144,-0.00001132037
1736492210.152,-0.00002391507
1736492210.16,0.00001149768
1736492210.168,0.00003002257
1736492210.176,0.00003163016
1736492210.184,0.00003127668
1736492210.192,0.000004895393
1736492210.2,-0.000009273079
1736492210.208,-0.0000340292
1736492210.216,-0.00004637937
1736492210.224,-0.00006762215
1736492210.232,-0.00009958689
1736492210.24,-0.0001134601
1736492210.248,-0.0001574872
1736492210.256,-0.0001991647
1736492210.264,-0.000226831
1736492210.272,-0.0002416685
1736492210.28,-0.0002256662
1736492210.288,-0.0002024246
1736492210.296,-0.0001645778
1736492210.304,-0.0001230127
1736492210.312,-0.00008515963
1736492210.32,-0.00004710789
1736492210.328,-0.000003271549
1736492210.336,0.0000262179
1736492210.344,0.00004627297
1736492210.352,0.0000629073
1736492210.36,0.00007790243
1736492210.368,0.00009992542
1736492210.376,0.0001182234
1736492210.384,0.0001308924
1736492210.392,0.00009955112
1736492210.4,0.0000880426
1736492210.408,0.0001280639
1736492210.416,0.0001362325
1736492210.424,0.0001288426
1736492210.432,0.0001653731
1736492210.44,0.0001791015
1736492210.448,0.0001666639
1736492210.456,0.0001235016
1736492210.464,0.00006273022
1736492210.472,0.00001082307
1736492210.48,-0.00002483444
1736492210.488,-0.00002936845
1736492210.496,-0.0000301411
1736492210.504,-0.00002206006
1736492210.512,-0.00000771654
1736492210.52,-0.00000171398
1736492210.528,0.00002122981
1736492210.536,0.00003469411
1736492210.544,0.00004885196
1736492210.552,0.000004539733
1736492210.56,0.00008056017
1736492210.568,0.0004241093
1736492210.576,0.0004015308
1736492210.584,-0.00002710733
1736492210.592,-0.0003940372
1736492210.6,-0.0003639735
1736492210.608,-0.0001982757
1736492210.616,-0.00004694912
1736492210.624,-0.00001299803
1736492210.632,0.000007573436
1736492210.64,0.00003739894
1736492210.648,0.00001975598
1736492210.656,0.00003958539
1736492210.664,0.00002217534
1736492210.672,0.00002377765
1736492210.68,0.00003066126
1736492210.688,0.00002247319
1736492210.696,0.00003209389
1736492210.704,0.00004531881
1736492210.712,0.0000471756
1736492210.72,0.00004305681
1736492210.728,0.00005468391
1736492210.736,0.00006016941
1736492210.744,0.00004145339
1736492210.752,0.00001467122
1736492210.76,-0.00001653027
1736492210.768,-0.00003036705
1736492210.776,-0.00006348192
1736492210.784,-0.0000813392
