Timestamp,outputFilterHeartOut,final_heart_rate,heart_rate_est_peak,heart_rate_est_fft,heart_rate_est_fft_4hz,heartRateEst_xCorr,confidence_heart,range_bin_value,rangeBinPhaseIndex,unwrapPhasePeak_mm,sumEnergyHeartWfm
1750744558.0318818,0.0016784146428108215,48.0,5.859375,111.328125,164.0625,51.72414016723633,0.03577965870499611,119315568.0,2475556877,23.516233444213867,0.18849028646945953
1750744558.0338862,-0.0032448270358145237,48.0,5.859375,111.328125,164.0625,51.72414016723633,0.04122856259346008,120304848.0,1989804045,23.502201080322266,0.18849429488182068
1750744558.03889,0.00397236505523324,48.0,5.859375,111.328125,164.0625,51.72414016723633,0.034249965101480484,125500176.0,1600258061,23.50001335144043,0.17754513025283813
1750744558.0588899,0.001345776952803135,48.0,5.859375,111.328125,164.0625,51.72414016723633,0.03586214780807495,129983904.0,3971219469,23.497238159179688,0.1775454729795456
1750744558.078886,-0.0018422766588628292,48.0,5.859375,111.328125,164.0625,51.72414016723633,0.03337569162249565,120398216.0,2754674701,23.49828338623047,0.17754478752613068
1750744558.0988898,-0.004714468494057655,48.0,5.859375,111.328125,164.0625,51.72414016723633,0.034670475870370865,120160864.0,810287117,23.504091262817383,0.17754513025283813
1750744558.1188843,-0.00648772157728672,48.0,5.859375,111.328125,164.0625,51.72414016723633,0.03449532017111778,119891464.0,2898329613,23.49846839904785,0.17754513025283813
1750744558.138885,-0.006715822499245405,48.0,5.859375,111.328125,164.0625,51.72414016723633,0.03517041355371475,120130528.0,561774605,23.497682571411133,0.17754478752613068
1750744558.1578774,-0.0054433224722743034,48.0,5.859375,111.328125,164.0625,51.72414016723633,0.036149442195892334,120001504.0,3799777293,23.49871826171875,0.1775454729795456
1750744558.1788893,-0.0032119997777044773,48.0,5.859375,111.328125,164.0625,51.72414016723633,0.035297319293022156,119176848.0,1339162637,23.499910354614258,0.17754478752613068
1750744558.1988854,-0.0007754052057862282,48.0,5.859375,111.328125,164.0625,51.72414016723633,0.03517041727900505,123868928.0,1121976333,23.500165939331055,0.17754478752613068
1750744558.2178802,0.0012628617696464062,48.0,5.859375,111.328125,164.0625,51.72414016723633,0.035212140530347824,116252536.0,3153002509,23.50385284423828,0.17754478752613068
1750744558.2388883,0.002609620336443186,48.0,5.859375,111.328125,164.0625,51.72414016723633,0.03632428124547005,126232512.0,3304587277,23.504032135009766,0.1775444597005844
1750744558.25889,0.0032610809430480003,48.0,5.859375,111.328125,164.0625,51.72414016723633,0.03422898054122925,115622240.0,2284584973,23.503442764282227,0.17754513025283813
