timestamp,value
1736490744,0.00001045245
1736490744.008,0.00001125937
1736490744.016,0.000004387408
1736490744.024,-0.00003103945
1736490744.032,-0.00002441669
1736490744.04,-0.00004075688
1736490744.048,0.0000102984
1736490744.056,0.0001029936
1736490744.064,0.0001122995
1736490744.072,0.0001949462
1736490744.08,0.0002504014
1736490744.088,0.0003644739
1736490744.096,0.0006727073
1736490744.104,0.001192293
1736490744.112,0.001585788
1736490744.12,0.001920464
1736490744.128,0.001910501
1736490744.136,0.001291581
1736490744.144,0.0005753844
1736490744.152,0.00004394903
1736490744.16,-0.0001700414
1736490744.168,-0.0003186734
1736490744.176,-0.0005223352
1736490744.184,-0.000831568
1736490744.192,-0.0009757288
1736490744.2,-0.001119032
1736490744.208,-0.001259895
1736490744.216,-0.001317649
1736490744.224,-0.001379268
1736490744.232,-0.001392627
1736490744.24,-0.001395609
1736490744.248,-0.001352708
1736490744.256,-0.001255336
1736490744.264,-0.001156296
1736490744.272,-0.001036026
1736490744.28,-0.0009012476
1736490744.288,-0.0007945582
1736490744.296,-0.0006665033
1736490744.304,-0.0004741269
1736490744.312,-0.0003615196
1736490744.32,-0.0002400988
1736490744.328,-0.0001370375
1736490744.336,-0.00005539104
1736490744.344,0.00001830138
1736490744.352,0.0001637186
1736490744.36,0.0002269277
1736490744.368,0.0002721129
1736490744.376,0.0003114736
1736490744.384,0.0003389403
1736490744.392,0.0003785019
1736490744.4,0.0004017749
1736490744.408,0.0004459605
1736490744.416,0.0004656388
1736490744.424,0.0004767087
1736490744.432,0.0005267829
1736490744.44,0.0005659659
1736490744.448,0.0005743749
1736490744.456,0.0005946705
1736490744.464,0.0006168451
1736490744.472,0.0006089188
1736490744.48,0.0005901654
1736490744.488,0.0005744605
1736490744.496,0.000573426
1736490744.504,0.000547529
1736490744.512,0.0005221405
1736490744.52,0.00051898
1736490744.528,0.0004813531
1736490744.536,0.000456512
1736490744.544,0.0004319733
1736490744.552,0.0003652392
1736490744.56,0.0002931986
1736490744.568,0.0002475055
1736490744.576,0.000206522
1736490744.584,0.0001701594
1736490744.592,0.00009880257
1736490744.6,0.00006178051
1736490744.608,0.00002205177
1736490744.616,-0.00003143994
1736490744.624,-0.00006366588
1736490744.632,-0.00005244981
1736490744.64,-0.00004254296
1736490744.648,-0.00008431661
1736490744.656,-0.0001033909
1736490744.664,-0.0001209619
