Timestamp,range_bin_value,outputFilterHeartOut,heart_rate_est_fft,heart_rate_est_fft_4hz,heartRateEst_xCorr,heart_rate_est_peak,confidence_heart,sumEnergyHeartWfm,finalHeartrate
1736488835.8023126,1152052736.0,0.0,0.0,0.0,133.33334350585938,0.0,0.0,0.0,48.0
1736488835.8033404,1633726720.0,0.000918462872505188,0.0,0.0,133.33334350585938,0.0,1.2529199123382568,0.0,48.0
1736488835.8484318,2101777792.0,0.0061561232432723045,0.0,0.0,133.33334350585938,0.0,3.5068154335021973,0.0,48.0
1736488835.8980749,1814234752.0,0.01939408667385578,0.0,0.0,133.33334350585938,0.0,0.10529294610023499,0.0,48.0
1736488835.9515822,1692168448.0,0.038619160652160645,0.0,0.0,133.33334350585938,0.0,3.6052722930908203,0.0,48.0
1736488835.9986734,1249424384.0,0.054266974329948425,0.0,0.0,133.33334350585938,0.0,2.4591224193573,0.0,48.0
1736488836.0484009,1470004736.0,0.0540844202041626,0.0,0.0,133.33334350585938,0.0,2.0795865058898926,0.0,48.0
1736488836.0978534,1959458944.0,0.02908492088317871,0.0,0.0,133.33334350585938,0.0,1.7736866474151611,0.0,48.0
1736488836.1484008,1620768384.0,-0.023364052176475525,0.0,94.921875,133.33334350585938,5.859375,2.796931505203247,0.0,48.0
1736488836.1991272,2147352576.0,-0.09763064980506897,0.0,94.921875,133.33334350585938,7.03125,3.470639228820801,0.0,48.0
1736488836.248347,2147483648.0,-0.17787912487983704,46.875,94.921875,133.33334350585938,8.203125,3.598766326904297,0.0,48.0
1736488836.2984548,2147418112.0,-0.24046917259693146,46.875,94.921875,133.33334350585938,9.375,3.7850685119628906,0.0,48.0
1736488836.3486936,1733909248.0,-0.2623364329338074,46.875,94.921875,133.33334350585938,11.71875,3.9046518802642822,0.0,48.0
1736488836.39817,406117760.0,-0.22914552688598633,46.875,94.921875,133.33334350585938,11.71875,3.850771188735962,0.0,48.0
