Timestamp,outputFilterHeartOut,final_heart_rate,heart_rate_est_peak,heart_rate_est_fft,heart_rate_est_fft_4hz,heartRateEst_xCorr,confidence_heart,range_bin_value,rangeBinPhaseIndex,unwrapPhasePeak_mm,sumEnergyHeartWfm
1750129098.9922783,0.015802403911948204,48.0,5.859375,108.3984375,187.5,51.72414016723633,1.8957220315933228,23536032.0,2429550600,-30.185420989990234,0.2315690666437149
1750129098.9922783,0.0035715848207473755,48.0,11.71875,108.3984375,187.5,51.72414016723633,0.03316281735897064,25466260.0,1254752264,-30.13506317138672,0.23156781494617462
1750129098.9922783,-0.00400557741522789,48.0,5.859375,108.3984375,187.5,63.82978820800781,0.03394144028425217,19009952.0,147849224,-30.136760711669922,0.22577343881130219
1750129099.0129876,0.00880267471075058,48.0,5.859375,108.3984375,187.5,63.82978820800781,0.03513168916106224,19751120.0,2959605768,-30.14910316467285,0.22577421367168427
1750129099.0286376,0.019700555130839348,48.0,5.859375,108.3984375,187.5,63.82978820800781,0.03558319807052612,20223044.0,1243742216,-30.155899047851562,0.2257727086544037
1750129099.0598907,0.02431163191795349,48.0,5.859375,108.3984375,187.5,63.82978820800781,0.03513169661164284,25745416.0,1812201480,-30.141164779663086,0.22577187418937683
1750129099.075518,0.020454006269574165,48.0,5.859375,108.3984375,187.5,63.82978820800781,0.03394144028425217,19732004.0,2333212680,-30.16239356994629,0.22577255964279175
1750129099.101135,0.009502998553216457,48.0,5.859375,108.3984375,187.5,63.82978820800781,0.034682709723711014,28706088.0,43253768,-30.18667221069336,0.22577404975891113
1750129099.1204119,-0.004372250288724899,48.0,5.859375,108.3984375,187.5,63.82978820800781,0.034812893718481064,23223544.0,779878408,-30.151344299316406,0.22577261924743652
1750129099.14138,-0.01621265709400177,48.0,5.859375,108.3984375,187.5,63.82978820800781,0.03481288626790047,24776612.0,131203080,-30.15826988220215,0.22577250003814697
1750129099.160957,-0.021848393604159355,48.0,5.859375,108.3984375,187.5,63.82978820800781,0.03387198597192764,24559264.0,1599078408,-30.142101287841797,0.225772887468338
1750129099.1816118,-0.019003460183739662,48.0,5.859375,108.3984375,187.5,63.82978820800781,0.03315600007772446,22391484.0,3579707400,-30.185144424438477,0.22577343881130219
1750129099.1999002,-0.00845646858215332,48.0,5.859375,108.3984375,187.5,63.82978820800781,0.032018598169088364,26286376.0,2358509576,-30.124204635620117,0.22577469050884247
1750129099.220919,0.0058701978996396065,48.0,5.859375,108.3984375,187.5,62.500003814697266,0.03875423222780228,24739300.0,3203530760,-30.179283142089844,0.212722048163414
1750129099.2369,0.018703125417232513,48.0,5.859375,108.3984375,187.5,62.500003814697266,0.03612891212105751,31201920.0,222298120,-30.125986099243164,0.21272170543670654
1750129099.2514818,0.02568652108311653,48.0,5.859375,108.3984375,187.5,62.500003814697266,0.03395337983965874,30606980.0,2202140680,-30.17405891418457,0.2127228081226349
1750129099.2815747,0.024732820689678192,48.0,5.859375,108.3984375,187.5,62.500003814697266,0.03473735228180885,27121448.0,3952345096,-30.19407844543457,0.21272195875644684
1750129099.3011658,0.01627013087272644,48.0,5.859375,108.3984375,187.5,62.500003814697266,2.776050090789795,23993080.0,226230280,-30.19892692565918,0.21272209286689758
1750129099.3166015,0.002667739987373352,48.0,5.859375,108.3984375,187.5,62.500003814697266,0.03898478299379349,24175764.0,1917452296,-30.13077163696289,0.21272209286689758
1750129099.333927,-0.012118086218833923,48.0,5.859375,108.3984375,187.5,62.500003814697266,0.042558640241622925,24754644.0,3706322952,-30.14023780822754,0.21272096037864685
1750129099.3495653,-0.02287953533232212,48.0,5.859375,108.3984375,187.5,62.500003814697266,0.031073682010173798,28353476.0,1373765640,-30.151456832885742,0.21272221207618713
1750129099.3788416,-0.025275297462940216,48.0,5.859375,108.3984375,187.5,62.500003814697266,0.0310736745595932,20902916.0,2046951432,-30.16834259033203,0.21272195875644684
1750129099.399579,-0.01879052259027958,48.0,5.859375,108.3984375,187.5,62.500003814697266,0.03689708933234215,27463900.0,2288910344,-30.15268898010254,0.2127228081226349
1750129099.4167943,-0.007199455983936787,26.9296875,5.859375,108.3984375,187.5,62.500003814697266,0.0419892780482769,18300008.0,2654208008,-30.16646957397461,0.21272209286689758
