Timestamp,range_bin_value,outputFilterHeartOut,heart_rate_est_fft,heart_rate_est_fft_4hz,heartRateEst_xCorr,heart_rate_est_peak,confidence_heart,sumEnergyHeartWfm,finalHeartrate
1736490290.553439,352956000.0,0.48348721861839294,96.09375,96.09375,50.0,14.0625,3.461717128753662,0.2700476348400116,48.0
1736490290.5863972,288554176.0,0.1739588975906372,96.09375,96.09375,50.0,14.0625,2.8084473609924316,0.2700474262237549,48.0
1736490290.631394,267458784.0,-0.19484126567840576,96.09375,96.09375,50.0,14.0625,2.830129623413086,0.27004745602607727,48.0
1736490290.6796505,220240032.0,-0.46226561069488525,96.09375,96.09375,50.0,14.0625,2.8276216983795166,0.27004751563072205,48.0
1736490290.7306721,183592656.0,-0.5675286054611206,96.09375,96.09375,50.0,14.0625,2.845364809036255,0.27004775404930115,48.0
1736490290.7805283,163348256.0,-0.5103410482406616,96.09375,96.09375,50.0,14.0625,2.821000576019287,0.27004745602607727,48.0
1736490290.8304718,83997856.0,-0.33682799339294434,96.09375,96.09375,50.0,14.0625,2.803987979888916,0.2700476050376892,48.0
1736490290.880358,82404624.0,-0.1194951981306076,96.09375,96.09375,50.0,14.0625,2.7670845985412598,0.270047664642334,48.0
1736490290.9299164,807082240.0,0.06155075132846832,96.09375,96.09375,50.0,14.0625,2.7733378410339355,0.2700475752353668,48.0
1736490290.9808497,1118736000.0,0.1387305110692978,96.09375,96.09375,50.0,14.0625,2.714343547821045,0.27004772424697876,48.0
1736490291.030447,1490559744.0,0.07783345133066177,96.09375,96.09375,50.0,14.0625,2.7119498252868652,0.27004727721214294,48.0
1736490291.0792851,1157655680.0,-0.10918514430522919,96.09375,96.09375,50.0,14.0625,2.695941209793091,0.2700473666191101,48.0
1736490291.129253,308731872.0,-0.36472299695014954,96.09375,96.09375,50.0,14.0625,2.6745998859405518,0.2700475752353668,48.0
1736490291.180311,1462870272.0,-0.5998880863189697,96.09375,96.09375,50.0,14.0625,2.6798059940338135,0.27004748582839966,48.0
1736490291.2297676,1602628096.0,-0.7211160063743591,96.09375,96.09375,50.0,14.0625,2.647315263748169,0.27004751563072205,48.0
1736490291.2830822,2145060096.0,-0.6582453846931458,96.09375,96.09375,50.0,14.0625,2.662559747695923,0.2700476050376892,48.0
1736490291.3301494,1443123200.0,-0.3832437992095947,96.09375,96.09375,50.0,14.0625,2.6386983394622803,0.27004769444465637,48.0
1736490291.3867319,791018240.0,0.07749700546264648,96.09375,96.09375,50.0,14.0625,2.63863205909729,0.2700475752353668,48.0
1736490291.4299824,1317410816.0,0.6377919912338257,96.09375,96.09375,50.0,14.0625,2.631974935531616,0.27004754543304443,48.0
1736490291.4867322,1007036736.0,1.1667709350585938,96.09375,96.09375,50.0,14.0625,2.6284666061401367,0.27004751563072205,72.046875
1736490291.529206,1263895552.0,1.5273067951202393,96.09375,96.09375,50.0,14.0625,2.6024773120880127,0.27004775404930115,96.09375
1736490291.5867324,2116012288.0,1.6182713508605957,96.09375,96.09375,50.0,14.0625,2.6227638721466064,0.27004745602607727,96.09375
1736490291.6296937,1379921792.0,1.3999358415603638,96.09375,96.09375,50.0,14.0625,2.5950846672058105,0.2700476348400116,96.09375
1736490291.6867316,1347117184.0,0.9014546871185303,96.09375,96.09375,50.0,14.0625,2.601411819458008,0.270047664642334,96.09375
1736490291.7288725,885164608.0,0.2173936367034912,96.09375,96.09375,50.0,14.0625,2.616438627243042,0.27004751563072205,96.09375
1736490291.7871516,1042050432.0,-0.5092043876647949,96.09375,96.09375,50.0,14.0625,2.6096646785736084,0.27004751563072205,96.09375
1736490291.8304937,1233619584.0,-1.1203835010528564,96.09375,96.09375,50.0,14.0625,2.580543041229248,0.2700476050376892,96.09375
1736490291.880359,1226219776.0,-1.4874053001403809,96.09375,96.09375,50.0,14.0625,2.544736385345459,0.27004769444465637,96.09375
1736490291.9293098,890135360.0,-1.5506060123443604,96.09375,96.09375,50.0,14.0625,2.4846417903900146,0.27004772424697876,96.09375
1736490291.9805791,561531904.0,-1.3348828554153442,96.09375,96.09375,50.0,14.0625,2.4181711673736572,0.2700476348400116,96.09375
1736490292.0296931,649662208.0,-0.9314529299736023,96.09375,96.09375,50.0,14.0625,2.30470609664917,0.2700476050376892,96.09375
