timestamp,value
1736490293,-0.0000434941
1736490293.008,-0.00002100722
1736490293.016,-0.00009142943
1736490293.024,-0.00007561943
1736490293.032,-0.00008083294
1736490293.04,-0.00007988987
1736490293.048,-0.00008518066
1736490293.056,-0.0001143785
1736490293.064,-0.0001241247
1736490293.072,-0.0001149056
1736490293.08,-0.0001009291
1736490293.088,-0.0001129874
1736490293.096,-0.0001244281
1736490293.104,-0.0001415408
1736490293.112,-0.0001632761
1736490293.12,-0.0001876544
1736490293.128,-0.0002183245
1736490293.136,-0.0002499733
1736490293.144,-0.0002740413
1736490293.152,-0.000284392
1736490293.16,-0.0002991497
1736490293.168,-0.0003243604
1736490293.176,-0.00035242
1736490293.184,-0.0003604331
1736490293.192,-0.0003497635
1736490293.2,-0.0003845152
1736490293.208,-0.0003978238
1736490293.216,-0.0003874722
1736490293.224,-0.000389974
1736490293.232,-0.0003912005
1736490293.24,-0.0003086384
1736490293.248,-0.0002603032
1736490293.256,-0.0002312698
1736490293.264,-0.000174407
1736490293.272,0.000001070296
1736490293.28,0.0000994058
1736490293.288,0.00009789936
1736490293.296,0.0002817365
1736490293.304,0.0005975725
1736490293.312,0.0007398445
1736490293.32,0.0007058993
1736490293.328,0.0006095346
1736490293.336,0.0004867804
1736490293.344,0.0003731566
1736490293.352,0.00032536
1736490293.36,0.0001136166
1736490293.368,-0.00007735509
1736490293.376,-0.0002025287
1736490293.384,-0.000283365
1736490293.392,-0.0003659902
1736490293.4,-0.0003711419
1736490293.408,-0.0004055971
1736490293.416,-0.0004152604
1736490293.424,-0.0003659115
1736490293.432,-0.0003779217
1736490293.44,-0.0003415534
1736490293.448,-0.0002441585
1736490293.456,-0.0001703598
1736490293.464,-0.0001471409
1736490293.472,0.00007850198
1736490293.48,0.0004581153
1736490293.488,0.0003552546
1736490293.496,-0.00002233648
1736490293.504,-0.0002817632
1736490293.512,-0.0002437013
1736490293.52,-0.0001097314
1736490293.528,0.00006608309
1736490293.536,0.0001141037
1736490293.544,0.0001948939
1736490293.552,0.0002409299
1736490293.56,0.0002202302
1736490293.568,0.0002943011
1736490293.576,0.0003114367
1736490293.584,0.0003295713
1736490293.592,0.0003376757
1736490293.6,0.0003357296
1736490293.608,0.0003723499
1736490293.616,0.0003723639
1736490293.624,0.0003792574
1736490293.632,0.000402949
1736490293.64,0.0004133005
1736490293.648,0.0003628517
1736490293.656,0.0002868491
1736490293.664,0.0001750072
1736490293.672,0.00002112279
1736490293.68,-0.000193744
1736490293.688,-0.000524588
1736490293.696,-0.0007276148
1736490293.704,-0.0007219739
1736490293.712,-0.0006089895
1736490293.72,-0.0005912675
1736490293.728,-0.0005332682
1736490293.736,-0.000468219
1736490293.744,-0.0003921555
1736490293.752,-0.0003193537
1736490293.76,-0.0001827905
1736490293.768,-0.00008020047
1736490293.776,0.00003989222
1736490293.784,0.0001273931
1736490293.792,0.0002096908
1736490293.8,0.0002684044
1736490293.808,0.0002766709
1736490293.816,0.0002585256
1736490293.824,0.0002360792
1736490293.832,0.0002162613
